loss,bbox_loss,class_loss,class_accuracy,val_loss,val_bbox_loss,val_class_loss,val_class_accuracy
31903.291015625,31902.556640625,0.738782525062561,0.8043076992034912,29067.67578125,29067.369140625,0.3077661693096161,0.9975429773330688
22175.798828125,22175.591796875,0.20628590881824493,0.9883077144622803,13524.1796875,13524.13671875,0.04392792284488678,1.0
6799.7490234375,6799.69189453125,0.05864968150854111,0.9956923127174377,3178.625244140625,3178.612060546875,0.012812023982405663,1.0
2078.474853515625,2078.443115234375,0.031247682869434357,0.9975384473800659,1306.38671875,1306.3804931640625,0.006105401087552309,1.0
980.9489135742188,980.92822265625,0.020521897822618484,0.9969230890274048,737.895263671875,737.8909912109375,0.004241012968122959,1.0
695.9022216796875,695.8903198242188,0.011686841957271099,1.0,624.8092651367188,624.8065185546875,0.0027189957909286022,1.0
624.7159423828125,624.7069091796875,0.00903322920203209,1.0,587.7009887695312,587.6993408203125,0.001667620032094419,1.0
588.4822387695312,588.4755249023438,0.006723535247147083,1.0,557.689697265625,557.6883544921875,0.0012350735487416387,1.0
548.1273193359375,548.1224975585938,0.004760548938065767,1.0,530.2337036132812,530.2328491210938,0.0009311962639912963,1.0
512.6055297851562,512.5999145507812,0.0055541363544762135,0.9993846416473389,498.5047607421875,498.5038757324219,0.0009059440344572067,1.0
478.3387451171875,478.3348083496094,0.003954607527703047,1.0,465.76409912109375,465.7632751464844,0.0007778486469760537,1.0
439.80792236328125,439.8039245605469,0.003940204158425331,0.9993846416473389,436.8342590332031,436.8337707519531,0.0004357729631010443,1.0
407.2786560058594,407.2752380371094,0.0034049241803586483,0.9993846416473389,423.7989807128906,423.7986145019531,0.0004143950645811856,1.0
384.3491516113281,384.3468933105469,0.00226997141726315,1.0,392.9897766113281,392.9893798828125,0.00035305297933518887,1.0
357.92218017578125,357.9193420410156,0.0028197746723890305,1.0,363.540283203125,363.53985595703125,0.00043299258686602116,1.0
331.14569091796875,331.1441955566406,0.0015248307026922703,1.0,345.881591796875,345.88128662109375,0.0002940127160400152,1.0
311.5140075683594,311.5124206542969,0.001589008024893701,1.0,331.6242370605469,331.6239929199219,0.0002582242013886571,1.0
300.3258972167969,300.32470703125,0.0011656832648441195,1.0,322.784912109375,322.78466796875,0.0002184084296459332,1.0
289.21337890625,289.21185302734375,0.001476240693591535,1.0,315.93817138671875,315.93804931640625,0.0001304334437008947,1.0
278.3581237792969,278.35699462890625,0.0011649479856714606,1.0,312.18115234375,312.1810302734375,0.00012205616803839803,1.0
